epoch,gps_tow,satellite_count,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf_100k,est_x_pf_100k,est_y_pf_100k,est_z_pf_100k
0,0.000000,8,32.872351,-3955387.704569,3354335.197877,3700336.585434,32.872351,-3955387.704569,3354335.197877,3700336.585434,28.917881,-3955387.335198,3354334.683585,3700331.182555,32.616085,-3955388.045044,3354334.247513,3700335.820495
1,1.000000,8,13.577384,-3955396.113120,3354335.105230,3700316.491810,13.597887,-3955396.114821,3354335.110713,3700316.524332,26.565817,-3955390.856133,3354337.790055,3700332.186423,28.266035,-3955390.867157,3354336.217786,3700333.530527
2,2.000000,8,13.568102,-3955405.880314,3354326.015219,3700302.267290,12.537826,-3955405.580869,3354327.163770,3700301.385043,20.910705,-3955398.278756,3354334.766420,3700327.770257,25.077406,-3955395.635886,3354334.903542,3700331.631026
3,3.000000,8,31.366608,-3955387.695586,3354337.094853,3700333.283863,17.771190,-3955392.993449,3354332.641069,3700319.316992,21.567012,-3955397.254390,3354335.778568,3700328.029425,26.332332,-3955393.836337,3354335.116896,3700331.389458
4,4.000000,8,27.997097,-3955385.814982,3354326.242551,3700323.740332,25.063180,-3955387.497040,3354327.489708,3700321.435361,21.954954,-3955394.646994,3354332.763689,3700323.960908,28.579440,-3955392.467673,3354333.411463,3700330.931538
5,5.000000,8,11.069830,-3955395.659826,3354309.367392,3700301.271071,16.323145,-3955392.815252,3354315.252455,3700310.072403,20.747902,-3955396.125836,3354328.037656,3700320.679848,29.767296,-3955392.939851,3354330.504752,3700330.069311
6,6.000000,8,21.675258,-3955407.057503,3354344.817879,3700321.873860,15.105107,-3955403.992679,3354333.949705,3700312.711968,23.623576,-3955397.612940,3354329.992252,3700322.215179,30.316500,-3955394.880546,3354332.849072,3700328.710542
7,7.000000,8,66.749425,-3955416.659134,3354311.461093,3700383.158543,36.169373,-3955410.336605,3354316.957399,3700344.958668,26.976584,-3955399.569060,3354326.343448,3700325.886453,33.079424,-3955396.840588,3354329.569800,3700331.388409
8,8.000000,8,6.492605,-3955416.108638,3354312.250181,3700309.396339,23.671234,-3955416.388708,3354314.764229,3700331.884021,25.913314,-3955402.256390,3354323.491428,3700323.318693,32.609184,-3955399.089366,3354327.678457,3700328.821597
9,9.000000,8,38.282107,-3955416.824842,3354303.395694,3700344.724510,32.090689,-3955417.068133,3354305.887214,3700338.501829,28.495537,-3955404.181662,3354320.897821,3700325.480519,34.229910,-3955400.875378,3354324.844318,3700329.271463
10,10.000000,8,23.041329,-3955430.442632,3354287.478862,3700314.113994,27.731221,-3955427.142316,3354294.686673,3700330.559397,27.117776,-3955407.975869,3354316.950264,3700323.967616,33.982758,-3955403.410220,3354321.397202,3700327.724871
11,11.000000,8,44.702825,-3955407.745804,3354317.444440,3700345.954837,31.924510,-3955416.673539,3354305.503920,3700336.403014,31.726504,-3955408.099773,3354316.955571,3700326.038744,37.624188,-3955403.943056,3354321.028624,3700328.548582
12,12.000000,8,33.717170,-3955424.616626,3354314.303390,3700344.003764,31.363538,-3955423.103761,3354310.073439,3700339.334424,34.631624,-3955409.394098,3354316.342391,3700326.702351,40.142056,-3955405.637218,3354320.199865,3700328.991500
13,13.000000,8,18.010300,-3955431.161466,3354279.262973,3700289.391629,14.975746,-3955429.659503,3354293.008243,3700323.813588,27.663257,-3955410.881600,3354313.871331,3700322.568486,33.795981,-3955407.436235,3354317.446752,3700326.856363
14,14.000000,8,33.236444,-3955411.078705,3354280.940058,3700255.566934,4.189197,-3955420.683217,3354286.515089,3700301.082170,24.566339,-3955410.885603,3354312.963364,3700321.031830,28.533074,-3955408.029018,3354314.752679,3700323.664109
15,15.000000,8,14.867833,-3955412.375495,3354289.496578,3700324.792982,1.131058,-3955415.332035,3354285.012730,3700307.585874,21.851711,-3955411.892184,3354311.469450,3700322.377852,25.315221,-3955408.674548,3354312.844223,3700323.577921
16,16.000000,8,23.115702,-3955430.739211,3354272.899730,3700301.871742,15.931553,-3955425.467489,3354277.147377,3700304.488379,18.841404,-3955412.772312,3354308.662381,3700320.171318,21.888991,-3955409.986877,3354310.424722,3700322.351090
17,17.000000,8,33.045952,-3955440.280353,3354283.822956,3700366.388055,19.216658,-3955433.982480,3354277.059258,3700322.868593,15.743034,-3955416.129276,3354307.047437,3700325.447859,19.675108,-3955411.740030,3354308.619874,3700323.933495
18,18.000000,8,5.414444,-3955417.114884,3354291.916241,3700334.902299,8.642949,-3955424.537302,3354283.159984,3700326.603053,16.172654,-3955417.306439,3354306.262140,3700326.239819,19.785929,-3955412.192653,3354307.549050,3700324.689885
19,19.000000,8,13.029876,-3955414.483002,3354272.500488,3700314.819220,11.034171,-3955418.581979,3354275.556228,3700323.870660,18.414561,-3955416.828444,3354304.430517,3700325.108394,20.643220,-3955412.239945,3354305.720101,3700324.686551
