close_entry_p95_abs_residual_max_m,close_rescue_cb_min_m,exit_confirm_close_epochs,exit_confirm_far_epochs,holdout_mean_p95,holdout_mean_rms_2d,negative_exit_cb_min_m,negative_exit_disagreement_min_m,negative_exit_p95_abs_residual_min_m,train_mean_p95,train_mean_rms_2d
45.000000,16.000000,4,6,81.221726,65.533035,25.000000,42.000000,52.000000,97.751479,79.344758
45.000000,16.000000,4,6,81.221726,65.533035,999.000000,42.000000,52.000000,97.751479,79.344758
45.000000,16.000000,4,6,81.221726,65.533035,25.000000,45.000000,52.000000,97.751479,79.344758
45.000000,16.000000,4,6,81.221726,65.533035,25.000000,999.000000,52.000000,97.751479,79.344758
48.000000,16.000000,4,6,81.221726,65.533035,25.000000,42.000000,52.000000,97.751479,79.344758
48.000000,16.000000,4,6,81.221726,65.533035,999.000000,42.000000,52.000000,97.751479,79.344758
48.000000,16.000000,4,6,81.221726,65.533035,25.000000,45.000000,52.000000,97.751479,79.344758
48.000000,16.000000,4,6,81.221726,65.533035,25.000000,999.000000,52.000000,97.751479,79.344758
50.000000,16.000000,4,6,81.221726,65.533035,25.000000,42.000000,52.000000,97.751479,79.344758
50.000000,16.000000,4,6,81.221726,65.533035,999.000000,42.000000,52.000000,97.751479,79.344758
