backend,catastrophic_rate_pct,city,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
WLS,0.000000,tokyo,0.000000,0.000000,82.856232,54.204655,WLS,100,0.023529,0.000000,54.151417,55.786452,72.804052,54.719704,63.886919,run1,tokyo_run1_seg1463,1463,a5844cfc41fbda08,0.010851
EKF,0.000000,tokyo,0.000000,0.000000,78.520957,54.196976,EKF,100,0.023529,0.000000,54.376822,56.022205,70.589065,54.692032,63.061290,run1,tokyo_run1_seg1463,1463,a5844cfc41fbda08,0.031876
GPU,0.000000,tokyo,50.000000,9.799999,117.100892,93.555444,PF,100,0.023529,50.000000,100.415639,109.632407,115.917789,96.016834,96.631568,run1,tokyo_run1_seg1463,1463,a5844cfc41fbda08,1.274229
GPU-3D,0.000000,tokyo,50.000000,9.799999,115.339301,92.372215,PF+RobustClear,100,0.023529,50.000000,99.741247,108.317451,114.656171,94.784062,96.232842,run1,tokyo_run1_seg1463,1463,a5844cfc41fbda08,nan
GPU-3D-BVH,0.000000,tokyo,72.000000,14.200000,231.657074,145.174539,PF3D-BVH+BlockedOnly,100,0.023529,72.000000,145.312562,181.549725,224.382354,154.713145,154.893781,run1,tokyo_run1_seg1463,1463,a5844cfc41fbda08,nan
WLS,0.000000,tokyo,8.000000,1.400001,213.812041,88.128138,WLS,100,0.064935,17.000000,80.693972,86.590669,194.949288,94.547812,124.993398,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,0.010662
EKF,0.000000,tokyo,15.000000,2.800000,171.668666,85.621212,EKF,100,0.064935,17.000000,81.455105,91.920374,135.279292,88.796941,111.096609,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,0.029129
GPU,0.000000,tokyo,59.000000,11.600000,133.713000,104.084980,PF,100,0.064935,59.000000,113.780264,126.132883,133.042358,107.482215,116.441372,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,1.353908
GPU-3D,0.000000,tokyo,57.000000,11.199999,128.683579,100.197013,PF+RobustClear,100,0.064935,57.000000,108.453505,120.243701,127.096363,103.108256,112.999814,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-3D-BVH,0.000000,tokyo,11.000000,2.000000,108.244692,58.239609,PF3D-BVH+BlockedOnly,100,0.064935,11.000000,51.507922,77.577677,105.082532,65.113653,68.029861,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
WLS,0.000000,tokyo,0.000000,0.000000,78.275046,65.725778,WLS,100,0.013605,0.000000,70.992777,71.772395,74.323698,67.171907,71.480329,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,0.027072
EKF,0.000000,tokyo,0.000000,0.000000,76.095943,66.229815,EKF,100,0.013605,0.000000,70.982406,71.759001,72.896156,67.402946,70.641189,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,0.068648
GPU,0.000000,tokyo,54.000000,10.600001,110.197739,97.247886,PF,100,0.013605,54.000000,101.162524,106.980245,109.398766,98.051466,102.131936,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,1.802319
GPU-3D,0.000000,tokyo,59.000000,11.600000,119.972764,100.999915,PF+RobustClear,100,0.013605,59.000000,106.783655,114.843469,119.473371,102.340751,109.580328,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-3D-BVH,0.000000,tokyo,0.000000,0.000000,73.845235,50.421980,PF3D-BVH+BlockedOnly,100,0.013605,0.000000,52.944800,62.967214,72.400417,53.316409,59.420580,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
WLS,0.000000,nagoya,0.000000,0.000000,86.207634,70.877100,WLS,100,0.006711,0.000000,83.113991,83.602897,85.526781,72.884473,86.565034,run1,nagoya_run1_seg0,0,938b44fb6b226b9f,0.010587
EKF,0.000000,nagoya,0.000000,0.000000,85.925638,71.214668,EKF,100,0.006711,0.000000,82.831506,83.550239,85.593544,72.966625,86.118966,run1,nagoya_run1_seg0,0,938b44fb6b226b9f,0.029896
GPU,0.000000,nagoya,0.000000,0.000000,82.695616,73.223681,PF,100,0.006711,0.000000,74.517762,76.793892,80.171565,73.438528,86.495156,run1,nagoya_run1_seg0,0,938b44fb6b226b9f,1.394133
GPU-3D,0.000000,nagoya,0.000000,0.000000,83.303181,70.492390,PF+RobustClear,100,0.006711,0.000000,69.791065,72.913330,81.831671,70.790615,84.405552,run1,nagoya_run1_seg0,0,938b44fb6b226b9f,nan
GPU-3D-BVH,0.000000,nagoya,37.000000,7.200001,102.716114,99.329399,PF3D-BVH+BlockedOnly,100,0.006711,49.000000,99.917016,100.935194,101.643470,99.393550,105.715169,run1,nagoya_run1_seg0,0,938b44fb6b226b9f,nan
WLS,0.000000,nagoya,0.000000,0.000000,98.050847,81.453320,WLS,100,0.066667,0.000000,77.857503,91.933970,97.717317,82.312792,107.880646,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,0.010536
EKF,0.000000,nagoya,0.000000,0.000000,98.432172,81.748282,EKF,100,0.066667,0.000000,78.299264,92.300831,98.026481,82.588305,105.126927,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,0.026799
GPU,0.000000,nagoya,0.000000,0.000000,88.878760,78.627056,PF,100,0.066667,0.000000,76.132321,78.989827,88.084681,78.759039,83.942259,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,1.622644
GPU-3D,0.000000,nagoya,0.000000,0.000000,83.852531,73.947469,PF+RobustClear,100,0.066667,0.000000,75.074592,76.288202,80.392926,74.062776,77.412613,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-3D-BVH,0.000000,nagoya,0.000000,0.000000,96.934216,90.945990,PF3D-BVH+BlockedOnly,100,0.066667,0.000000,91.072217,92.471764,96.437146,91.018079,97.499021,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
WLS,0.000000,nagoya,0.000000,0.000000,70.428449,64.846767,WLS,100,0.019481,0.000000,67.093975,67.448596,68.637017,65.230378,67.941824,run3,nagoya_run3_seg235,235,166238c5838382f5,0.010322
EKF,0.000000,nagoya,0.000000,0.000000,69.621328,65.429459,EKF,100,0.019481,0.000000,67.024267,67.319047,68.597772,65.548889,66.077420,run3,nagoya_run3_seg235,235,166238c5838382f5,0.029308
GPU,0.000000,nagoya,0.000000,0.000000,66.650052,33.402995,PF,100,0.019481,0.000000,32.942056,35.289150,60.777583,36.295520,38.966015,run3,nagoya_run3_seg235,235,166238c5838382f5,1.686350
GPU-3D,0.000000,nagoya,0.000000,0.000000,67.107246,28.934910,PF+RobustClear,100,0.019481,0.000000,23.139811,39.435511,63.058374,35.017754,38.962212,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
GPU-3D-BVH,0.000000,nagoya,32.000000,6.199999,147.512511,106.232573,PF3D-BVH+BlockedOnly,100,0.019481,58.000000,102.787615,109.247334,140.128790,107.401134,110.496043,run3,nagoya_run3_seg235,235,166238c5838382f5,nan
