city,run,config,systems,weight_scale,n_epochs,median_satellites,rms_2d,p95,time_ms
nagoya,run1,"G,E","G,E",-,7531,11,1161.741668,111.236124,0.053288
nagoya,run1,"G,E,J","G,E,J",-,7538,13,1373.206809,109.581451,0.061656
nagoya,run2,"G,E","G,E",-,9426,11,592.078711,112.102432,0.052528
nagoya,run2,"G,E,J","G,E,J",-,9426,13,659.369719,111.048494,0.057860
nagoya,run3,"G,E","G,E",-,5201,10,561.110071,75.596577,0.051584
nagoya,run3,"G,E,J","G,E,J",-,5201,13,561.002067,74.018946,0.066347
tokyo,run1,"G,E","G,E",-,11760,11,3503.200661,150.053414,0.052641
tokyo,run1,"G,E,J","G,E,J",-,11845,13,2194.673584,157.987329,0.059615
tokyo,run2,"G,E","G,E",-,9099,14,737.176045,80.064039,0.056352
tokyo,run2,"G,E,J","G,E,J",-,9106,17,736.722521,77.442338,0.068767
tokyo,run3,"G,E","G,E",-,15281,15,771.395821,87.273811,0.059326
tokyo,run3,"G,E,J","G,E,J",-,15291,18,956.510954,85.915732,0.067318
