run,method,bucket,n_epochs,median_sat,method_win_rate_pct,ekf_mean,ekf_p95,method_mean,method_p95
Odaiba,PF-10K,all,10342,5.0,48.6076194159737,76.31240911641848,165.89753225,87.47271890901179,173.05973125
Odaiba,PF-10K,sat_le4,2803,4.0,36.1755262219051,65.47877015019623,101.50776140000005,91.71796880342491,251.96849890000004
Odaiba,PF-10K,sat_eq5,3338,5.0,59.586578789694435,86.24242172408628,166.42280219999998,90.29296916686638,170.91328965
Odaiba,PF-10K,sat_eq6,2847,6.0,50.15806111696522,83.60004604741833,169.8435873,83.55241903126098,169.30164109999998
Odaiba,PF-10K,sat_ge7,1354,7.0,44.01772525849335,58.936046926883314,91.67049669999993,79.97468562776956,216.98714429999987
Odaiba,PF-10K,method_bad_ekf_ok,1267,5.0,0.0,67.64345763693764,95.2270036,184.7456841783741,483.7055229000001
Odaiba,PF-10K,method_cat_ekf_ok,58,4.0,0.0,59.58022674137932,93.37512355,540.385483,569.77213375
Odaiba,PF+RobustClear-10K,all,10342,5.0,50.84122993618255,76.31240911641848,165.89753225,86.50911494778573,164.60756064999998
Odaiba,PF+RobustClear-10K,sat_le4,2803,4.0,43.59614698537281,65.47877015019623,101.50776140000005,91.20601347556189,241.84635530000008
Odaiba,PF+RobustClear-10K,sat_eq5,3338,5.0,56.381066506890356,86.24242172408628,166.42280219999998,89.17373575763929,160.0494224
Odaiba,PF+RobustClear-10K,sat_eq6,2847,6.0,53.0031612223393,83.60004604741833,169.8435873,81.65262569652265,161.27543359999999
Odaiba,PF+RobustClear-10K,sat_ge7,1354,7.0,47.63663220088626,58.936046926883314,91.67049669999993,80.42825384121124,223.0860767999999
Odaiba,PF+RobustClear-10K,method_bad_ekf_ok,1327,5.0,0.0,67.95185268198945,95.5796963,182.8419189924642,482.6790602000001
Odaiba,PF+RobustClear-10K,method_cat_ekf_ok,58,4.0,0.0,59.58022674137932,93.37512355,534.3926928793104,557.00245355
Shinjuku,PF-10K,all,16139,5.0,49.278146105706675,62.963373186628665,143.2620923999998,67.80430195216556,185.1943259999996
Shinjuku,PF-10K,sat_le4,5668,4.0,66.99011997177135,85.87243444936485,218.95447624999997,67.73692874841213,191.71227155
Shinjuku,PF-10K,sat_eq5,5575,5.0,35.24663677130045,45.74338407820628,99.49308730000003,60.49791131408072,161.62849580000014
Shinjuku,PF-10K,sat_eq6,3187,6.0,42.485095701286475,52.82451314370881,84.0575284,82.48340090210229,319.9765459999999
Shinjuku,PF-10K,sat_ge7,1709,7.0,48.97600936220012,62.06543696606202,77.2603876,64.48815846050323,81.30991579999998
Shinjuku,PF-10K,method_bad_ekf_ok,1732,5.0,0.0,59.63364784584296,94.72186605,178.23355611662817,350.3450016
Shinjuku,PF+RobustClear-10K,all,16139,5.0,51.15558584794597,62.963373186628665,143.2620923999998,67.6475484210298,193.39022419999975
Shinjuku,PF+RobustClear-10K,sat_le4,5668,4.0,66.83133380381086,85.87243444936485,218.95447624999997,67.20064502699364,206.07734544999968
Shinjuku,PF+RobustClear-10K,sat_eq5,5575,5.0,36.502242152466366,45.74338407820628,99.49308730000003,60.13647791838566,160.96342900000005
Shinjuku,PF+RobustClear-10K,sat_eq6,3187,6.0,46.94069657985566,52.82451314370881,84.0575284,83.64564475651082,326.5689256999999
Shinjuku,PF+RobustClear-10K,sat_ge7,1709,7.0,54.82738443534231,62.06543696606202,77.2603876,63.798123885313046,86.8086426
Shinjuku,PF+RobustClear-10K,method_bad_ekf_ok,1585,5.0,0.0,58.27024992176656,94.98976379999999,187.0326042347003,348.0540738
